time, 0.00              ,   1.0000000000E+00,   2.0000000000E+00,   3.0000000000E+00,   4.0000000000E+00,   5.0000000000E+00,   6.0000000000E+00,   7.0000000000E+00,   8.0000000000E+00,   9.0000000000E+00,   1.0000000000E+01,   1.1000000000E+01,   1.2000000000E+01,   1.3000000000E+01,   1.4000000000E+01,   1.5000000000E+01,   1.6000000000E+01,   1.7000000000E+01,   1.8000000000E+01,   1.9000000000E+01,   2.0000000000E+01,   2.1000000000E+01,   2.2000000000E+01,   2.3000000000E+01,   2.4000000000E+01,   2.5000000000E+01,   2.6000000000E+01,   2.7000000000E+01,   2.8000000000E+01,   2.9000000000E+01,   3.0000000000E+01
k,   8.0000000000E-01,   8.0000000000E-01,   8.0000000000E-01,   8.0000000000E-01,   8.0000000000E-01,   8.0000000000E-01,   8.0000000000E-01,   8.0000000000E-01,   8.0000000000E-01,   8.0000000000E-01,   8.0000000000E-01,   8.0000000000E-01,   8.0000000000E-01,   8.0000000000E-01,   8.0000000000E-01,   8.0000000000E-01,   8.0000000000E-01,   8.0000000000E-01,   8.0000000000E-01,   8.0000000000E-01,   8.0000000000E-01,   8.0000000000E-01,   8.0000000000E-01,   8.0000000000E-01,   8.0000000000E-01,   8.0000000000E-01,   8.0000000000E-01,   8.0000000000E-01,   8.0000000000E-01,   8.0000000000E-01,   8.0000000000E-01
tau,   5.0000000000E+00,   5.0000000000E+00,   5.0000000000E+00,   5.0000000000E+00,   5.0000000000E+00,   5.0000000000E+00,   5.0000000000E+00,   5.0000000000E+00,   5.0000000000E+00,   5.0000000000E+00,   5.0000000000E+00,   5.0000000000E+00,   5.0000000000E+00,   5.0000000000E+00,   5.0000000000E+00,   5.0000000000E+00,   5.0000000000E+00,   5.0000000000E+00,   5.0000000000E+00,   5.0000000000E+00,   5.0000000000E+00,   5.0000000000E+00,   5.0000000000E+00,   5.0000000000E+00,   5.0000000000E+00,   5.0000000000E+00,   5.0000000000E+00,   5.0000000000E+00,   5.0000000000E+00,   5.0000000000E+00,   5.0000000000E+00
u, 0.00              ,   5.3070605784E+01,   2.9990645961E+01,   2.9990645961E+01,   2.9990645961E+01,   2.9990645961E+01,   2.9990645961E+01,   2.9990645961E+01,   2.9990645961E+01,   2.9990645961E+01,   2.9990645961E+01,   2.9990645961E+01,   2.9990645961E+01,   2.9990645961E+01,   2.9990645961E+01,   2.9990645961E+01,   2.9990645961E+01,   2.9990645961E+01,   2.9990645961E+01,   2.9990645961E+01,   2.9990645961E+01,   2.9990645961E+01,   2.9990645961E+01,   2.9990645961E+01,   2.9990645961E+01,   2.9990645961E+01,   2.9990645961E+01,   2.9990645961E+01,   2.9990645961E+01,   2.9990645961E+01,   2.9990645961E+01
x,   2.0000000000E+00,   1.8022620112E+00,   5.4262942751E+00,   8.8389475462E+00,   1.1601588657E+01,   1.3852019873E+01,   1.5690516716E+01,   1.7194483964E+01,   1.8425544427E+01,   1.9433501677E+01,   2.0258894350E+01,   2.0934828904E+01,   2.1488383401E+01,   2.1941720724E+01,   2.2312986588E+01,   2.2617039864E+01,   2.2866048763E+01,   2.3069978372E+01,   2.3236989654E+01,   2.3373766123E+01,   2.3485781329E+01,   2.3577517918E+01,   2.3652647021E+01,   2.3714175165E+01,   2.3764564593E+01,   2.3805831797E+01,   2.3839628215E+01,   2.3867306315E+01,   2.3889973725E+01,   2.3908537552E+01,   2.3923740686E+01
y, 0.00              ,   4.0260459560E+00,   9.2323870392E+00,   1.1904479490E+01,   1.4092831066E+01,   1.5885015547E+01,   1.7352752837E+01,   1.8554779066E+01,   1.9539197098E+01,   2.0345401521E+01,   2.1005655144E+01,   2.1546380093E+01,   2.1989215181E+01,   2.2351881848E+01,   2.2648893342E+01,   2.2892135514E+01,   2.3091342465E+01,   2.3254486089E+01,   2.3388095091E+01,   2.3497516257E+01,   2.3587128419E+01,   2.3660517689E+01,   2.3720620971E+01,   2.3769843486E+01,   2.3810155028E+01,   2.3843168792E+01,   2.3870205925E+01,   2.3892348406E+01,   2.3910482333E+01,   2.3925333395E+01,   2.3937495902E+01
y.tau,   5.0000000000E+00,   5.0000000000E+00,   5.0000000000E+00,   5.0000000000E+00,   5.0000000000E+00,   5.0000000000E+00,   5.0000000000E+00,   5.0000000000E+00,   5.0000000000E+00,   5.0000000000E+00,   5.0000000000E+00,   5.0000000000E+00,   5.0000000000E+00,   5.0000000000E+00,   5.0000000000E+00,   5.0000000000E+00,   5.0000000000E+00,   5.0000000000E+00,   5.0000000000E+00,   5.0000000000E+00,   5.0000000000E+00,   5.0000000000E+00,   5.0000000000E+00,   5.0000000000E+00,   5.0000000000E+00,   5.0000000000E+00,   5.0000000000E+00,   5.0000000000E+00,   5.0000000000E+00,   5.0000000000E+00,   5.0000000000E+00
y.tr_hi,   1.0000000000E+00,   5.5258620690E+00,   9.2323870392E+00,   1.2267903179E+01,   1.4753886224E+01,   1.6789820614E+01,   1.8457180676E+01,   1.9822691071E+01,   2.0940996997E+01,   2.1856850989E+01,   2.2606903827E+01,   2.3221171238E+01,   2.3724235066E+01,   2.4136226993E+01,   2.4473634176E+01,   2.4749959023E+01,   2.4976259545E+01,   2.5161591869E+01,   2.5313372651E+01,   2.5437675878E+01,   2.5539475935E+01,   2.5622846671E+01,   2.5691124428E+01,   2.5747041558E+01,   2.5792835759E+01,   2.5830339630E+01,   2.5861054007E+01,   2.5886208023E+01,   2.5906808295E+01,   2.5923679207E+01,   2.5937495902E+01
y.tr_lo,  -1.0000000000E+00,   3.5258620690E+00,   7.2323870392E+00,   1.0267903179E+01,   1.2753886224E+01,   1.4789820614E+01,   1.6457180676E+01,   1.7822691071E+01,   1.8940996997E+01,   1.9856850989E+01,   2.0606903827E+01,   2.1221171238E+01,   2.1724235066E+01,   2.2136226993E+01,   2.2473634176E+01,   2.2749959023E+01,   2.2976259545E+01,   2.3161591869E+01,   2.3313372651E+01,   2.3437675878E+01,   2.3539475935E+01,   2.3622846671E+01,   2.3691124428E+01,   2.3747041558E+01,   2.3792835759E+01,   2.3830339630E+01,   2.3861054007E+01,   2.3886208023E+01,   2.3906808295E+01,   2.3923679207E+01,   2.3937495902E+01
y.trs_hi,   1.0000000000E+00,   5.5258620690E+00,   9.2323870392E+00,   1.2267903179E+01,   1.4753886224E+01,   1.6789820614E+01,   1.8457180676E+01,   1.9822691071E+01,   2.0940996997E+01,   2.1856850989E+01,   2.2606903827E+01,   2.3221171238E+01,   2.3724235066E+01,   2.4136226993E+01,   2.4473634176E+01,   2.4749959023E+01,   2.4976259545E+01,   2.5161591869E+01,   2.5313372651E+01,   2.5437675878E+01,   2.5539475935E+01,   2.5622846671E+01,   2.5691124428E+01,   2.5747041558E+01,   2.5792835759E+01,   2.5830339630E+01,   2.5861054007E+01,   2.5886208023E+01,   2.5906808295E+01,   2.5923679207E+01,   2.5937495902E+01
y.trs_lo,  -1.0000000000E+00,   3.5258620690E+00,   7.2323870392E+00,   1.0267903179E+01,   1.2753886224E+01,   1.4789820614E+01,   1.6457180676E+01,   1.7822691071E+01,   1.8940996997E+01,   1.9856850989E+01,   2.0606903827E+01,   2.1221171238E+01,   2.1724235066E+01,   2.2136226993E+01,   2.2473634176E+01,   2.2749959023E+01,   2.2976259545E+01,   2.3161591869E+01,   2.3313372651E+01,   2.3437675878E+01,   2.3539475935E+01,   2.3622846671E+01,   2.3691124428E+01,   2.3747041558E+01,   2.3792835759E+01,   2.3830339630E+01,   2.3861054007E+01,   2.3886208023E+01,   2.3906808295E+01,   2.3923679207E+01,   2.3937495902E+01
y.sp_hi,   2.6000000000E+01,   2.6000000000E+01,   2.6000000000E+01,   2.6000000000E+01,   2.6000000000E+01,   2.6000000000E+01,   2.6000000000E+01,   2.6000000000E+01,   2.6000000000E+01,   2.6000000000E+01,   2.6000000000E+01,   2.6000000000E+01,   2.6000000000E+01,   2.6000000000E+01,   2.6000000000E+01,   2.6000000000E+01,   2.6000000000E+01,   2.6000000000E+01,   2.6000000000E+01,   2.6000000000E+01,   2.6000000000E+01,   2.6000000000E+01,   2.6000000000E+01,   2.6000000000E+01,   2.6000000000E+01,   2.6000000000E+01,   2.6000000000E+01,   2.6000000000E+01,   2.6000000000E+01,   2.6000000000E+01,   2.6000000000E+01
y.sp_lo,   2.4000000000E+01,   2.4000000000E+01,   2.4000000000E+01,   2.4000000000E+01,   2.4000000000E+01,   2.4000000000E+01,   2.4000000000E+01,   2.4000000000E+01,   2.4000000000E+01,   2.4000000000E+01,   2.4000000000E+01,   2.4000000000E+01,   2.4000000000E+01,   2.4000000000E+01,   2.4000000000E+01,   2.4000000000E+01,   2.4000000000E+01,   2.4000000000E+01,   2.4000000000E+01,   2.4000000000E+01,   2.4000000000E+01,   2.4000000000E+01,   2.4000000000E+01,   2.4000000000E+01,   2.4000000000E+01,   2.4000000000E+01,   2.4000000000E+01,   2.4000000000E+01,   2.4000000000E+01,   2.4000000000E+01,   2.4000000000E+01
y.err_hi, 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              
y.err_lo, 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              
y.bias, 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              
y.bcv, 0.00              ,   4.0260459560E+00,   9.2323870392E+00,   1.1904479490E+01,   1.4092831066E+01,   1.5885015547E+01,   1.7352752837E+01,   1.8554779066E+01,   1.9539197098E+01,   2.0345401521E+01,   2.1005655144E+01,   2.1546380093E+01,   2.1989215181E+01,   2.2351881848E+01,   2.2648893342E+01,   2.2892135514E+01,   2.3091342465E+01,   2.3254486089E+01,   2.3388095091E+01,   2.3497516257E+01,   2.3587128419E+01,   2.3660517689E+01,   2.3720620971E+01,   2.3769843486E+01,   2.3810155028E+01,   2.3843168792E+01,   2.3870205925E+01,   2.3892348406E+01,   2.3910482333E+01,   2.3925333395E+01,   2.3937495902E+01
y.wsp_hi,   2.0000000000E+01,   2.0000000000E+01,   2.0000000000E+01,   2.0000000000E+01,   2.0000000000E+01,   2.0000000000E+01,   2.0000000000E+01,   2.0000000000E+01,   2.0000000000E+01,   2.0000000000E+01,   2.0000000000E+01,   2.0000000000E+01,   2.0000000000E+01,   2.0000000000E+01,   2.0000000000E+01,   2.0000000000E+01,   2.0000000000E+01,   2.0000000000E+01,   2.0000000000E+01,   2.0000000000E+01,   2.0000000000E+01,   2.0000000000E+01,   2.0000000000E+01,   2.0000000000E+01,   2.0000000000E+01,   2.0000000000E+01,   2.0000000000E+01,   2.0000000000E+01,   2.0000000000E+01,   2.0000000000E+01,   2.0000000000E+01
y.wsp_lo,   2.0000000000E+01,   2.0000000000E+01,   2.0000000000E+01,   2.0000000000E+01,   2.0000000000E+01,   2.0000000000E+01,   2.0000000000E+01,   2.0000000000E+01,   2.0000000000E+01,   2.0000000000E+01,   2.0000000000E+01,   2.0000000000E+01,   2.0000000000E+01,   2.0000000000E+01,   2.0000000000E+01,   2.0000000000E+01,   2.0000000000E+01,   2.0000000000E+01,   2.0000000000E+01,   2.0000000000E+01,   2.0000000000E+01,   2.0000000000E+01,   2.0000000000E+01,   2.0000000000E+01,   2.0000000000E+01,   2.0000000000E+01,   2.0000000000E+01,   2.0000000000E+01,   2.0000000000E+01,   2.0000000000E+01,   2.0000000000E+01
y.cost, 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              
